VehicleCode,PartNumber,BarCode,ManufacturerPartNumber,PositionId,PositionValue,Attributes
015.041.01.2019,1047882,PD-PAXL-3001,PAXL-3001,,,
015.059.02.2017,1047882,PD-PAXL-3001,PAXL-3001,,,
015.047.01.2009,1047882,PD-PAXL-3001,PAXL-3001,,,
015.047.01.2010,1047882,PD-PAXL-3001,PAXL-3001,,,
015.067.02.2015,1047883,PD-PAXL-3011,PAXL-3011,1280,Front left,"{""Position(33)"" = ""Front left(1280)""}"
015.067.02.2016,1047883,PD-PAXL-3011,PAXL-3011,1280,Front left,"{""Position(33)"" = ""Front left(1280)""}"
015.066.05.2018,1047883,PD-PAXL-3011,PAXL-3011,1280,Front left,"{""Position(33)"" = ""Front left(1280)""}"
015.068.03.2018,1047883,PD-PAXL-3011,PAXL-3011,1280,Front left,"{""Position(33)"" = ""Front left(1280)""}"
015.066.04.2018,1047883,PD-PAXL-3011,PAXL-3011,1280,Front left,"{""Position(33)"" = ""Front left(1280)""}"
015.066.02.2018,1047883,PD-PAXL-3011,PAXL-3011,1280,Front left,"{""Position(33)"" = ""Front left(1280)""}"
015.073.02.2018,1047883,PD-PAXL-3011,PAXL-3011,1280,Front left,"{""Position(33)"" = ""Front left(1280)""}"
015.068.02.2018,1047883,PD-PAXL-3011,PAXL-3011,1280,Front left,"{""Position(33)"" = ""Front left(1280)""}"
015.068.02.2017,1047883,PD-PAXL-3011,PAXL-3011,1280,Front left,"{""Position(33)"" = ""Front left(1280)""}"
015.069.01.2017,1047883,PD-PAXL-3011,PAXL-3011,1280,Front left,"{""Position(33)"" = ""Front left(1280)""}"
015.069.01.2016,1047883,PD-PAXL-3011,PAXL-3011,1280,Front left,"{""Position(33)"" = ""Front left(1280)""}"
015.067.04.2016,1047883,PD-PAXL-3011,PAXL-3011,1280,Front left,"{""Position(33)"" = ""Front left(1280)""}"
015.067.01.2016,1047883,PD-PAXL-3011,PAXL-3011,1280,Front left,"{""Position(33)"" = ""Front left(1280)""}"
015.065.02.2016,1047883,PD-PAXL-3011,PAXL-3011,1280,Front left,"{""Position(33)"" = ""Front left(1280)""}"
015.065.01.2016,1047883,PD-PAXL-3011,PAXL-3011,1280,Front left,"{""Position(33)"" = ""Front left(1280)""}"
015.065.03.2016,1047883,PD-PAXL-3011,PAXL-3011,1280,Front left,"{""Position(33)"" = ""Front left(1280)""}"
015.067.04.2015,1047883,PD-PAXL-3011,PAXL-3011,1280,Front left,"{""Position(33)"" = ""Front left(1280)""}"
015.067.01.2015,1047883,PD-PAXL-3011,PAXL-3011,1280,Front left,"{""Position(33)"" = ""Front left(1280)""}"
015.065.05.2015,1047883,PD-PAXL-3011,PAXL-3011,1280,Front left,"{""Position(33)"" = ""Front left(1280)""}"
015.065.04.2015,1047883,PD-PAXL-3011,PAXL-3011,1280,Front left,"{""Position(33)"" = ""Front left(1280)""}"
015.065.01.2015,1047883,PD-PAXL-3011,PAXL-3011,1280,Front left,"{""Position(33)"" = ""Front left(1280)""}"
015.065.02.2015,1047883,PD-PAXL-3011,PAXL-3011,1280,Front left,"{""Position(33)"" = ""Front left(1280)""}"
015.067.01.2014,1047883,PD-PAXL-3011,PAXL-3011,1280,Front left,"{""Position(33)"" = ""Front left(1280)""}"
015.067.02.2014,1047883,PD-PAXL-3011,PAXL-3011,1280,Front left,"{""Position(33)"" = ""Front left(1280)""}"
015.067.03.2014,1047883,PD-PAXL-3011,PAXL-3011,1280,Front left,"{""Position(33)"" = ""Front left(1280)""}"
015.067.04.2014,1047883,PD-PAXL-3011,PAXL-3011,1280,Front left,"{""Position(33)"" = ""Front left(1280)""}"
015.065.04.2014,1047883,PD-PAXL-3011,PAXL-3011,1280,Front left,"{""Position(33)"" = ""Front left(1280)""}"
015.065.05.2014,1047883,PD-PAXL-3011,PAXL-3011,1280,Front left,"{""Position(33)"" = ""Front left(1280)""}"
015.065.01.2014,1047883,PD-PAXL-3011,PAXL-3011,1280,Front left,"{""Position(33)"" = ""Front left(1280)""}"
015.065.03.2014,1047883,PD-PAXL-3011,PAXL-3011,1280,Front left,"{""Position(33)"" = ""Front left(1280)""}"
015.065.04.2013,1047883,PD-PAXL-3011,PAXL-3011,1280,Front left,"{""Position(33)"" = ""Front left(1280)""}"
015.065.01.2013,1047883,PD-PAXL-3011,PAXL-3011,1280,Front left,"{""Position(33)"" = ""Front left(1280)""}"
