VehicleCode,PartNumber,BarCode,ManufacturerPartNumber,PositionId,PositionValue,Attributes
091.051.02.1981,1044545,359313,RVR-301,,,
091.051.02.1982,1044545,359313,RVR-301,,,
091.051.02.1983,1044545,359313,RVR-301,,,
091.051.04.1981,1044545,359313,RVR-301,,,
091.063.02.1980,1044545,359313,RVR-301,,,
091.063.02.1981,1044545,359313,RVR-301,,,
091.066.01.1980,1044545,359313,RVR-301,,,
091.066.01.1981,1044545,359313,RVR-301,,,
091.068.03.1980,1044545,359313,RVR-301,,,
091.068.03.1981,1044545,359313,RVR-301,,,
091.066.01.1983,1044545,359313,RVR-301,,,
091.066.01.1984,1044545,359313,RVR-301,,,
091.066.01.1982,1044545,359313,RVR-301,,,
091.066.01.1979,1044545,359313,RVR-301,,,
091.066.01.1985,1044545,359313,RVR-301,,,
091.066.01.1986,1044545,359313,RVR-301,,,
091.051.04.1982,1044545,359313,RVR-301,,,
091.051.04.1985,1044545,359313,RVR-301,,,
091.051.04.1984,1044545,359313,RVR-301,,,
091.051.04.1983,1044545,359313,RVR-301,,,
091.051.04.1988,1044545,359313,RVR-301,,,
091.051.04.1987,1044545,359313,RVR-301,,,
091.051.04.1986,1044545,359313,RVR-301,,,
091.051.02.1984,1044545,359313,RVR-301,,,
091.051.02.1986,1044545,359313,RVR-301,,,
091.051.02.1987,1044545,359313,RVR-301,,,
091.051.02.1985,1044545,359313,RVR-301,,,
091.051.02.1988,1044545,359313,RVR-301,,,
038.042.01.2001,1044547,31000075,MSB-140,126,Front,"{""Position(33)"" = ""Front(126)""}"
038.043.01.2013,1044547,31000075,MSB-140,126,Front,"{""Position(33)"" = ""Front(126)""}"
038.042.02.2013,1044547,31000075,MSB-140,126,Front,"{""Position(33)"" = ""Front(126)""}"
038.042.01.2002,1044547,31000075,MSB-140,126,Front,"{""Position(33)"" = ""Front(126)""}"
038.043.01.2014,1044547,31000075,MSB-140,126,Front,"{""Position(33)"" = ""Front(126)""}"
038.042.02.2014,1044547,31000075,MSB-140,126,Front,"{""Position(33)"" = ""Front(126)""}"
038.042.01.2003,1044547,31000075,MSB-140,126,Front,"{""Position(33)"" = ""Front(126)""}"
038.043.01.2015,1044547,31000075,MSB-140,126,Front,"{""Position(33)"" = ""Front(126)""}"
038.042.02.2015,1044547,31000075,MSB-140,126,Front,"{""Position(33)"" = ""Front(126)""}"
038.042.01.2004,1044547,31000075,MSB-140,126,Front,"{""Position(33)"" = ""Front(126)""}"
038.043.01.2016,1044547,31000075,MSB-140,126,Front,"{""Position(33)"" = ""Front(126)""}"
038.042.02.2016,1044547,31000075,MSB-140,126,Front,"{""Position(33)"" = ""Front(126)""}"
038.042.01.2005,1044547,31000075,MSB-140,126,Front,"{""Position(33)"" = ""Front(126)""}"
038.043.01.2017,1044547,31000075,MSB-140,126,Front,"{""Position(33)"" = ""Front(126)""}"
038.042.02.2017,1044547,31000075,MSB-140,126,Front,"{""Position(33)"" = ""Front(126)""}"
038.042.01.2006,1044547,31000075,MSB-140,126,Front,"{""Position(33)"" = ""Front(126)""}"
038.044.01.2014,1044547,31000075,MSB-140,126,Front,"{""Position(33)"" = ""Front(126)""}"
038.042.01.2007,1044547,31000075,MSB-140,126,Front,"{""Position(33)"" = ""Front(126)""}"
038.044.01.2015,1044547,31000075,MSB-140,126,Front,"{""Position(33)"" = ""Front(126)""}"
038.042.01.2008,1044547,31000075,MSB-140,126,Front,"{""Position(33)"" = ""Front(126)""}"
038.042.01.2009,1044547,31000075,MSB-140,126,Front,"{""Position(33)"" = ""Front(126)""}"
038.042.01.2010,1044547,31000075,MSB-140,126,Front,"{""Position(33)"" = ""Front(126)""}"
038.042.01.2011,1044547,31000075,MSB-140,126,Front,"{""Position(33)"" = ""Front(126)""}"
038.042.02.2012,1044547,31000075,MSB-140,126,Front,"{""Position(33)"" = ""Front(126)""}"
049.109.11.2000,1044508,359310,MSB-421,126,Front,"{""Position(33)"" = ""Front(126)""}"
049.108.11.2000,1044508,359310,MSB-421,126,Front,"{""Position(33)"" = ""Front(126)""}"
049.104.01.2000,1044508,359310,MSB-421,126,Front,"{""Position(33)"" = ""Front(126)""}"
049.104.01.2001,1044508,359310,MSB-421,126,Front,"{""Position(33)"" = ""Front(126)""}"
049.104.01.2002,1044508,359310,MSB-421,126,Front,"{""Position(33)"" = ""Front(126)""}"
049.104.01.2003,1044508,359310,MSB-421,126,Front,"{""Position(33)"" = ""Front(126)""}"
049.104.01.2004,1044508,359310,MSB-421,126,Front,"{""Position(33)"" = ""Front(126)""}"
049.104.01.2005,1044508,359310,MSB-421,126,Front,"{""Position(33)"" = ""Front(126)""}"
049.104.01.2006,1044508,359310,MSB-421,126,Front,"{""Position(33)"" = ""Front(126)""}"
049.104.01.2007,1044508,359310,MSB-421,126,Front,"{""Position(33)"" = ""Front(126)""}"
049.104.01.2008,1044508,359310,MSB-421,126,Front,"{""Position(33)"" = ""Front(126)""}"
049.104.01.2009,1044508,359310,MSB-421,126,Front,"{""Position(33)"" = ""Front(126)""}"
049.104.01.2010,1044508,359310,MSB-421,126,Front,"{""Position(33)"" = ""Front(126)""}"
049.104.01.2011,1044508,359310,MSB-421,126,Front,"{""Position(33)"" = ""Front(126)""}"
049.104.01.2012,1044508,359310,MSB-421,126,Front,"{""Position(33)"" = ""Front(126)""}"
049.104.01.2013,1044508,359310,MSB-421,126,Front,"{""Position(33)"" = ""Front(126)""}"
049.104.01.2014,1044508,359310,MSB-421,126,Front,"{""Position(33)"" = ""Front(126)""}"
049.104.01.2015,1044508,359310,MSB-421,126,Front,"{""Position(33)"" = ""Front(126)""}"
049.104.01.2016,1044508,359310,MSB-421,126,Front,"{""Position(33)"" = ""Front(126)""}"
049.104.01.2017,1044508,359310,MSB-421,126,Front,"{""Position(33)"" = ""Front(126)""}"
049.104.01.2018,1044508,359310,MSB-421,126,Front,"{""Position(33)"" = ""Front(126)""}"
049.104.01.2019,1044508,359310,MSB-421,126,Front,"{""Position(33)"" = ""Front(126)""}"
