VehicleCode,PartNumber,BarCode,ManufacturerPartNumber,PositionId,PositionValue,Attributes
004.080.16.2007,8007362001,5056558100902,103082,,,
004.080.16.2008,8007362001,5056558100902,103082,,,
004.080.16.2009,8007362001,5056558100902,103082,,,
004.080.16.2010,8007362001,5056558100902,103082,,,
004.080.16.2011,8007362001,5056558100902,103082,,,
004.080.16.2012,8007362001,5056558100902,103082,,,
004.080.16.2013,8007362001,5056558100902,103082,,,
004.080.16.2014,8007362001,5056558100902,103082,,,
004.080.16.2015,8007362001,5056558100902,103082,,,
004.080.16.2016,8007362001,5056558100902,103082,,,
004.080.17.1993,8007362001,5056558100902,103082,,,
004.080.17.1994,8007362001,5056558100902,103082,,,
004.080.17.1995,8007362001,5056558100902,103082,,,
004.080.17.1996,8007362001,5056558100902,103082,,,
004.080.17.1997,8007362001,5056558100902,103082,,,
004.080.18.1993,8007362001,5056558100902,103082,,,
004.080.18.1994,8007362001,5056558100902,103082,,,
004.080.18.1995,8007362001,5056558100902,103082,,,
004.080.18.1996,8007362001,5056558100902,103082,,,
004.080.18.1997,8007362001,5056558100902,103082,,,
004.080.19.1994,8007362001,5056558100902,103082,,,
004.080.19.1995,8007362001,5056558100902,103082,,,
004.080.19.1996,8007362001,5056558100902,103082,,,
004.080.19.1997,8007362001,5056558100902,103082,,,
004.080.19.1998,8007362001,5056558100902,103082,,,
004.080.19.1999,8007362001,5056558100902,103082,,,
004.080.19.2000,8007362001,5056558100902,103082,,,
004.080.19.2001,8007362001,5056558100902,103082,,,
004.080.19.2002,8007362001,5056558100902,103082,,,
004.080.20.2017,8007362001,5056558100902,103082,,,
004.080.20.2018,8007362001,5056558100902,103082,,,
004.080.20.2019,8007362001,5056558100902,103082,,,
004.080.20.2020,8007362001,5056558100902,103082,,,
004.081.01.2003,8007362001,5056558100902,103082,,,
004.081.01.2004,8007362001,5056558100902,103082,,,
004.081.01.2005,8007362001,5056558100902,103082,,,
004.081.01.2006,8007362001,5056558100902,103082,,,
004.081.01.2007,8007362001,5056558100902,103082,,,
004.081.01.2008,8007362001,5056558100902,103082,,,
004.081.01.2009,8007362001,5056558100902,103082,,,
004.081.01.2010,8007362001,5056558100902,103082,,,
004.081.01.2011,8007362001,5056558100902,103082,,,
004.081.01.2012,8007362001,5056558100902,103082,,,
004.081.01.2013,8007362001,5056558100902,103082,,,
004.081.01.2014,8007362001,5056558100902,103082,,,
004.081.01.2015,8007362001,5056558100902,103082,,,
004.081.01.2016,8007362001,5056558100902,103082,,,
004.081.01.2017,8007362001,5056558100902,103082,,,
004.081.01.2018,8007362001,5056558100902,103082,,,
004.081.01.2019,8007362001,5056558100902,103082,,,
004.081.01.2020,8007362001,5056558100902,103082,,,
004.081.02.2020,8007362001,5056558100902,103082,,,
004.082.01.2020,8007362001,5056558100902,103082,,,
004.087.01.2019,8007362001,5056558100902,103082,,,
004.103.01.1999,8007362001,5056558100902,103082,,,
004.103.01.2000,8007362001,5056558100902,103082,,,
004.103.01.2001,8007362001,5056558100902,103082,,,
004.103.01.2002,8007362001,5056558100902,103082,,,
004.103.01.2003,8007362001,5056558100902,103082,,,
004.103.01.2004,8007362001,5056558100902,103082,,,
004.103.01.2005,8007362001,5056558100902,103082,,,
004.103.01.2006,8007362001,5056558100902,103082,,,
004.103.02.1999,8007362001,5056558100902,103082,,,
004.103.02.2000,8007362001,5056558100902,103082,,,
004.103.02.2001,8007362001,5056558100902,103082,,,
004.103.02.2002,8007362001,5056558100902,103082,,,
004.103.02.2003,8007362001,5056558100902,103082,,,
004.103.02.2004,8007362001,5056558100902,103082,,,
004.103.02.2005,8007362001,5056558100902,103082,,,
004.103.02.2006,8007362001,5056558100902,103082,,,
004.103.02.2007,8007362001,5056558100902,103082,,,
004.103.02.2008,8007362001,5056558100902,103082,,,
004.103.02.2009,8007362001,5056558100902,103082,,,
004.103.02.2010,8007362001,5056558100902,103082,,,
004.103.02.2011,8007362001,5056558100902,103082,,,
004.103.02.2012,8007362001,5056558100902,103082,,,
004.103.02.2013,8007362001,5056558100902,103082,,,
004.103.02.2014,8007362001,5056558100902,103082,,,
004.103.02.2015,8007362001,5056558100902,103082,,,
004.103.03.2009,8007362001,5056558100902,103082,,,
004.103.03.2010,8007362001,5056558100902,103082,,,
004.103.03.2011,8007362001,5056558100902,103082,,,
004.103.03.2012,8007362001,5056558100902,103082,,,
004.103.03.2013,8007362001,5056558100902,103082,,,
004.103.03.2014,8007362001,5056558100902,103082,,,
004.103.03.2015,8007362001,5056558100902,103082,,,
004.103.03.2016,8007362001,5056558100902,103082,,,
004.103.03.2017,8007362001,5056558100902,103082,,,
004.103.03.2018,8007362001,5056558100902,103082,,,
004.103.04.2006,8007362001,5056558100902,103082,,,
004.103.04.2007,8007362001,5056558100902,103082,,,
004.103.04.2008,8007362001,5056558100902,103082,,,
004.103.04.2009,8007362001,5056558100902,103082,,,
004.103.04.2010,8007362001,5056558100902,103082,,,
004.104.01.2002,8007362001,5056558100902,103082,,,
004.104.01.2003,8007362001,5056558100902,103082,,,
004.104.01.2004,8007362001,5056558100902,103082,,,
004.104.01.2005,8007362001,5056558100902,103082,,,
004.104.01.2006,8007362001,5056558100902,103082,,,
004.104.01.2007,8007362001,5056558100902,103082,,,
004.104.01.2008,8007362001,5056558100902,103082,,,
004.104.01.2009,8007362001,5056558100902,103082,,,
004.104.01.2010,8007362001,5056558100902,103082,,,
004.104.01.2011,8007362001,5056558100902,103082,,,
004.104.01.2012,8007362001,5056558100902,103082,,,
004.104.01.2013,8007362001,5056558100902,103082,,,
004.104.01.2014,8007362001,5056558100902,103082,,,
004.105.01.1999,8007362001,5056558100902,103082,,,
004.105.01.2000,8007362001,5056558100902,103082,,,
004.105.01.2001,8007362001,5056558100902,103082,,,
004.105.01.2002,8007362001,5056558100902,103082,,,
004.105.01.2003,8007362001,5056558100902,103082,,,
004.105.01.2004,8007362001,5056558100902,103082,,,
004.105.01.2005,8007362001,5056558100902,103082,,,
004.105.01.2006,8007362001,5056558100902,103082,,,
004.105.01.2007,8007362001,5056558100902,103082,,,
004.105.01.2008,8007362001,5056558100902,103082,,,
004.105.01.2009,8007362001,5056558100902,103082,,,
004.105.02.1999,8007362001,5056558100902,103082,,,
004.105.02.2000,8007362001,5056558100902,103082,,,
004.105.02.2001,8007362001,5056558100902,103082,,,
004.105.02.2002,8007362001,5056558100902,103082,,,
004.105.02.2003,8007362001,5056558100902,103082,,,
004.105.02.2004,8007362001,5056558100902,103082,,,
004.105.02.2005,8007362001,5056558100902,103082,,,
004.105.02.2006,8007362001,5056558100902,103082,,,
004.105.02.2007,8007362001,5056558100902,103082,,,
004.105.02.2008,8007362001,5056558100902,103082,,,
004.105.03.1999,8007362001,5056558100902,103082,,,
004.105.03.2000,8007362001,5056558100902,103082,,,
004.105.03.2001,8007362001,5056558100902,103082,,,
004.105.03.2002,8007362001,5056558100902,103082,,,
004.105.03.2003,8007362001,5056558100902,103082,,,
004.105.03.2004,8007362001,5056558100902,103082,,,
004.105.03.2005,8007362001,5056558100902,103082,,,
004.105.03.2006,8007362001,5056558100902,103082,,,
004.105.03.2007,8007362001,5056558100902,103082,,,
004.105.03.2008,8007362001,5056558100902,103082,,,
004.105.03.2009,8007362001,5056558100902,103082,,,
004.106.01.1995,8007362001,5056558100902,103082,,,
004.106.01.1996,8007362001,5056558100902,103082,,,
004.106.01.1997,8007362001,5056558100902,103082,,,
004.106.01.1998,8007362001,5056558100902,103082,,,
004.106.01.1999,8007362001,5056558100902,103082,,,
004.106.01.2000,8007362001,5056558100902,103082,,,
004.106.01.2001,8007362001,5056558100902,103082,,,
004.106.01.2002,8007362001,5056558100902,103082,,,
004.106.01.2003,8007362001,5056558100902,103082,,,
004.106.01.2004,8007362001,5056558100902,103082,,,
004.106.01.2005,8007362001,5056558100902,103082,,,
004.106.01.2006,8007362001,5056558100902,103082,,,
004.106.02.1996,8007362001,5056558100902,103082,,,
004.106.02.1997,8007362001,5056558100902,103082,,,
004.106.02.1998,8007362001,5056558100902,103082,,,
004.106.02.1999,8007362001,5056558100902,103082,,,
004.106.02.2000,8007362001,5056558100902,103082,,,
004.106.02.2001,8007362001,5056558100902,103082,,,
004.106.02.2002,8007362001,5056558100902,103082,,,
004.106.02.2003,8007362001,5056558100902,103082,,,
004.106.02.2004,8007362001,5056558100902,103082,,,
004.106.02.2005,8007362001,5056558100902,103082,,,
004.107.01.1999,8007362001,5056558100902,103082,,,
004.107.01.2000,8007362001,5056558100902,103082,,,
004.107.01.2001,8007362001,5056558100902,103082,,,
004.107.01.2002,8007362001,5056558100902,103082,,,
004.107.01.2003,8007362001,5056558100902,103082,,,
004.107.01.2004,8007362001,5056558100902,103082,,,
004.107.01.2005,8007362001,5056558100902,103082,,,
004.107.01.2006,8007362001,5056558100902,103082,,,
004.107.01.2007,8007362001,5056558100902,103082,,,
004.107.01.2008,8007362001,5056558100902,103082,,,
004.107.01.2009,8007362001,5056558100902,103082,,,
004.107.01.2010,8007362001,5056558100902,103082,,,
004.107.01.2011,8007362001,5056558100902,103082,,,
004.107.02.1999,8007362001,5056558100902,103082,,,
004.107.02.2000,8007362001,5056558100902,103082,,,
004.107.02.2001,8007362001,5056558100902,103082,,,
004.107.02.2002,8007362001,5056558100902,103082,,,
004.107.02.2003,8007362001,5056558100902,103082,,,
004.107.02.2004,8007362001,5056558100902,103082,,,
004.107.02.2005,8007362001,5056558100902,103082,,,
004.107.02.2006,8007362001,5056558100902,103082,,,
004.107.02.2007,8007362001,5056558100902,103082,,,
004.107.02.2008,8007362001,5056558100902,103082,,,
004.107.02.2009,8007362001,5056558100902,103082,,,
004.107.02.2010,8007362001,5056558100902,103082,,,
004.107.02.2011,8007362001,5056558100902,103082,,,
004.107.02.2012,8007362001,5056558100902,103082,,,
004.107.03.1999,8007362001,5056558100902,103082,,,
004.107.03.2000,8007362001,5056558100902,103082,,,
004.107.03.2001,8007362001,5056558100902,103082,,,
004.107.03.2002,8007362001,5056558100902,103082,,,
004.107.03.2003,8007362001,5056558100902,103082,,,
004.107.03.2004,8007362001,5056558100902,103082,,,
004.107.03.2005,8007362001,5056558100902,103082,,,
004.107.03.2006,8007362001,5056558100902,103082,,,
004.107.03.2007,8007362001,5056558100902,103082,,,
004.107.03.2008,8007362001,5056558100902,103082,,,
004.107.03.2009,8007362001,5056558100902,103082,,,
004.107.03.2010,8007362001,5056558100902,103082,,,
004.108.01.1997,8007362001,5056558100902,103082,,,
004.108.01.1998,8007362001,5056558100902,103082,,,
004.108.01.1999,8007362001,5056558100902,103082,,,
004.108.01.2000,8007362001,5056558100902,103082,,,
004.108.01.2001,8007362001,5056558100902,103082,,,
004.108.01.2002,8007362001,5056558100902,103082,,,
004.108.01.2003,8007362001,5056558100902,103082,,,
004.108.01.2004,8007362001,5056558100902,103082,,,
004.108.01.2005,8007362001,5056558100902,103082,,,
004.108.01.2006,8007362001,5056558100902,103082,,,
004.108.01.2007,8007362001,5056558100902,103082,,,
004.108.02.2003,8007362001,5056558100902,103082,,,
004.108.02.2004,8007362001,5056558100902,103082,,,
004.108.02.2005,8007362001,5056558100902,103082,,,
004.108.02.2006,8007362001,5056558100902,103082,,,
004.108.02.2007,8007362001,5056558100902,103082,,,
004.108.02.2008,8007362001,5056558100902,103082,,,
004.108.02.2009,8007362001,5056558100902,103082,,,
004.108.02.2010,8007362001,5056558100902,103082,,,
004.108.02.2011,8007362001,5056558100902,103082,,,
004.108.03.1999,8007362001,5056558100902,103082,,,
004.108.03.2000,8007362001,5056558100902,103082,,,
004.108.03.2001,8007362001,5056558100902,103082,,,
004.108.03.2002,8007362001,5056558100902,103082,,,
004.108.03.2003,8007362001,5056558100902,103082,,,
004.108.03.2004,8007362001,5056558100902,103082,,,
004.108.03.2005,8007362001,5056558100902,103082,,,
004.108.03.2006,8007362001,5056558100902,103082,,,
004.108.03.2007,8007362001,5056558100902,103082,,,
004.108.04.2003,8007362001,5056558100902,103082,,,
004.108.04.2004,8007362001,5056558100902,103082,,,
004.108.04.2005,8007362001,5056558100902,103082,,,
004.108.04.2007,8007362001,5056558100902,103082,,,
004.108.04.2008,8007362001,5056558100902,103082,,,
004.108.04.2009,8007362001,5056558100902,103082,,,
004.108.04.2010,8007362001,5056558100902,103082,,,
004.108.04.2011,8007362001,5056558100902,103082,,,
004.108.04.2012,8007362001,5056558100902,103082,,,
004.108.05.2003,8007362001,5056558100902,103082,,,
004.108.05.2004,8007362001,5056558100902,103082,,,
004.108.05.2005,8007362001,5056558100902,103082,,,
004.108.05.2007,8007362001,5056558100902,103082,,,
004.108.05.2008,8007362001,5056558100902,103082,,,
004.108.05.2009,8007362001,5056558100902,103082,,,
004.108.05.2010,8007362001,5056558100902,103082,,,
004.108.05.2011,8007362001,5056558100902,103082,,,
004.108.06.1999,8007362001,5056558100902,103082,,,
004.108.06.2000,8007362001,5056558100902,103082,,,
004.108.06.2001,8007362001,5056558100902,103082,,,
004.108.06.2002,8007362001,5056558100902,103082,,,
004.108.06.2003,8007362001,5056558100902,103082,,,
004.108.06.2004,8007362001,5056558100902,103082,,,
004.108.06.2005,8007362001,5056558100902,103082,,,
004.108.06.2006,8007362001,5056558100902,103082,,,
004.108.06.2007,8007362001,5056558100902,103082,,,
004.109.01.2004,8007362001,5056558100902,103082,,,
004.109.01.2005,8007362001,5056558100902,103082,,,
004.109.01.2006,8007362001,5056558100902,103082,,,
004.109.01.2007,8007362001,5056558100902,103082,,,
004.109.01.2008,8007362001,5056558100902,103082,,,
004.109.01.2009,8007362001,5056558100902,103082,,,
004.109.01.2010,8007362001,5056558100902,103082,,,
004.109.01.2011,8007362001,5056558100902,103082,,,
004.109.02.2004,8007362001,5056558100902,103082,,,
004.109.02.2005,8007362001,5056558100902,103082,,,
004.109.02.2006,8007362001,5056558100902,103082,,,
004.109.02.2007,8007362001,5056558100902,103082,,,
004.109.02.2008,8007362001,5056558100902,103082,,,
004.109.02.2009,8007362001,5056558100902,103082,,,
004.109.02.2010,8007362001,5056558100902,103082,,,
004.109.02.2011,8007362001,5056558100902,103082,,,
004.109.02.2012,8007362001,5056558100902,103082,,,
004.109.02.2013,8007362001,5056558100902,103082,,,
004.109.02.2014,8007362001,5056558100902,103082,,,
004.110.01.1999,8007362001,5056558100902,103082,,,
004.110.01.2000,8007362001,5056558100902,103082,,,
004.110.01.2001,8007362001,5056558100902,103082,,,
004.110.01.2002,8007362001,5056558100902,103082,,,
004.110.01.2003,8007362001,5056558100902,103082,,,
004.110.02.2010,8007362001,5056558100902,103082,,,
004.110.02.2011,8007362001,5056558100902,103082,,,
004.110.02.2012,8007362001,5056558100902,103082,,,
004.110.02.2013,8007362001,5056558100902,103082,,,
004.110.02.2014,8007362001,5056558100902,103082,,,
004.110.02.2015,8007362001,5056558100902,103082,,,
004.110.02.2016,8007362001,5056558100902,103082,,,
004.110.03.2011,8007362001,5056558100902,103082,,,
004.110.03.2012,8007362001,5056558100902,103082,,,
004.110.03.2013,8007362001,5056558100902,103082,,,
004.110.03.2014,8007362001,5056558100902,103082,,,
004.110.03.2015,8007362001,5056558100902,103082,,,
004.110.03.2016,8007362001,5056558100902,103082,,,
004.110.04.2004,8007362001,5056558100902,103082,,,
004.110.04.2005,8007362001,5056558100902,103082,,,
004.110.04.2006,8007362001,5056558100902,103082,,,
004.110.04.2007,8007362001,5056558100902,103082,,,
004.110.04.2008,8007362001,5056558100902,103082,,,
004.110.04.2009,8007362001,5056558100902,103082,,,
004.110.04.2010,8007362001,5056558100902,103082,,,
004.110.04.2011,8007362001,5056558100902,103082,,,
